Lake,Trip_Date,SampNo,STime,Effort,SampSite,UTMEasting,UTMNorthing,Species,Length,Weight
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,56,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,22,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,38,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,24,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,78,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,44,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,32,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,39,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,78,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,36,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,35,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,27,
Acton,8/3/2015,1,1849,2368,UP2,692994,4383212,20003,81,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,76,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,57,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,64,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,33,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,26,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,92,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,30,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,36,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,67,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,34,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,33,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,36,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,29,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,34,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,32,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,27,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,61,
Acton,8/3/2015,2,2106,2431,UP1,693322,4382789,20003,92,
