Reservoir,Scenario,GRP
ACL,Hypoxia,-0.006622351
ACL,Hypoxia,0.022740491
ACL,Hypoxia,0.013568222
ACL,Hypoxia,-0.006618188
ACL,Hypoxia,0.022888261
ACL,Hypoxia,0.013865589
ACL,Hypoxia,0.021061164
ACL,Hypoxia,0.020926895
ACL,Hypoxia,0.021190373
ACL,Hypoxia,0.021212087
ACL,Hypoxia,-0.007255814
ACL,Hypoxia,0.021270842
ACL,Hypoxia,0.021504127
ACL,Hypoxia,-0.006894116
ACL,Hypoxia,-0.006903648
ACL,Hypoxia,0.021255485
ACL,Hypoxia,0.021578191
ACL,Hypoxia,-0.005936947
ACL,Hypoxia,-0.006904536
ACL,Hypoxia,0.021078429
ACL,Hypoxia,0.021493256
ACL,Hypoxia,-0.00360724
ACL,Hypoxia,-0.006904763
ACL,Hypoxia,0.02096684
ACL,Hypoxia,0.021594038
ACL,Hypoxia,0.001619022
ACL,Hypoxia,-0.006904567
ACL,Hypoxia,0.020950642
ACL,Hypoxia,0.021402183
ACL,Hypoxia,0.009326475
ACL,Hypoxia,-0.006904105
ACL,Hypoxia,0.020929818
ACL,Hypoxia,0.020968342
ACL,Hypoxia,0.014772254
ACL,Hypoxia,-0.006903446
ACL,Hypoxia,0.020942462
ACL,Hypoxia,0.020554955
ACL,Hypoxia,0.016704568
ACL,Hypoxia,-0.006902638
ACL,Hypoxia,0.021066077
ACL,Hypoxia,0.020284106
ACL,Hypoxia,0.016470558
ACL,Hypoxia,-0.006901727
ACL,Hypoxia,0.021330944
ACL,Hypoxia,0.02002755
ACL,Hypoxia,0.014567031
ACL,Hypoxia,-0.006900756
ACL,Hypoxia,0.021575624
ACL,Hypoxia,0.019603846
ACL,Hypoxia,0.011332652
ACL,Hypoxia,-0.00689976
ACL,Hypoxia,0.021625825
ACL,Hypoxia,0.019358581
ACL,Hypoxia,0.007597199
ACL,Hypoxia,-0.006898769
ACL,Hypoxia,0.021755434
ACL,Hypoxia,0.019602783
ACL,Hypoxia,0.006022726
ACL,Hypoxia,-0.0068978
